rule_type,canonical_skill,pattern_group,regex_pattern,language,examples_included,examples_excluded,rationale_notes
include,ChatGPT,Direct mention,\bchatgpt\b,EN/ES/PT,ChatGPT specialist; Experience with ChatGPT-based workflows,Generic GPT mentions without explicit ChatGPT reference,Detects explicit ChatGPT references.
include,LLM,Acronym,\bllm\b,EN,LLM engineer,LL.M.; Master of Laws,Acronym retained only after legal-disambiguation filters.
include,LLM,Expanded form,\blarge language model(s)?\b,EN,Large language model applications,Non-AI language references,Expanded English form.
include,LLM,Portuguese expanded forms,\bgrande?s? modelo?s? de linguagem\b,PT,Grandes modelos de linguagem,Non-AI language references,Portuguese variant.
include,LLM,Portuguese expanded form,\bmodelo de linguagem de grande porte\b,PT,Modelo de linguagem de grande porte,Non-AI language references,Portuguese variant.
include,LLM,Model-family mentions,\bmeta\s*llama\b,EN,Meta Llama deployment,Non-AI uses of llama if any,LLM-family model mention.
include,LLM,Model-family mentions,\bllama\s?2\b,EN,Experience with Llama 2,Non-AI uses of llama if any,LLM-family model mention.
include,LLM,Model-family mentions,\bllama\s?3\b,EN,Experience with Llama 3,Non-AI uses of llama if any,LLM-family model mention.
include,LLM,Model-family mentions,\bllama\b,EN,Llama deployment,Non-AI uses of llama if any,Broad model-family mention; should be interpreted in AI context.
include,GenAI,Generative AI multilingual forms,\bgenerative ai\b,EN,Generative AI consultant,Generic AI postings without generative component,English GenAI phrase.
include,GenAI,Generative AI multilingual forms,\bia generativa\b,ES/PT,Especialista en IA generativa,Generic AI postings without generative component,Spanish/Portuguese short form.
include,GenAI,Generative AI multilingual forms,\binteligencia artificial generativa\b,ES,Inteligencia artificial generativa,Generic AI postings without generative component,Spanish full form.
include,GenAI,Generative AI multilingual forms,\bintelig[eê]ncia artificial generativa\b,PT,Inteligência artificial generativa,Generic AI postings without generative component,Portuguese full form with accent handling.
include,Prompt Engineering,English variants,\bprompt engineer(ing)?\b,EN,Prompt engineer; Prompt engineering,Generic writing/content roles using prompt in a non-AI sense,English prompt engineering/engineer.
